Overdrive Name,Overdrive Link,Country,Region,Collection Size,Ebooks,Audiobooks,Magazines
downloadLibrary,https://downloadlibrary.overdrive.com,Canada,Ontario,57444,38495,14230,4719
Camellia Net Digital Catalog,https://camellia.overdrive.com,United States,Alabama,57337,47596,9741,0
Merrimack Valley Library Consortium,https://mvlc.overdrive.com,United States,Massachusetts,56339,36092,15490,4757
Baltimore County Public Library,https://bcplinfo.overdrive.com,United States,Maryland,56304,37954,13621,4728
DeKalb County Public Library,https://dekalb.overdrive.com,United States,Georgia,56107,36070,15290,4746
Yakima Valley Libraries,https://yvl.overdrive.com,United States,Washington,55978,33992,17297,4686
Greater Victoria Public Library,https://gvpl.overdrive.com,Canada,British Columbia,55844,38365,12781,4697
eLibraries Manitoba,https://elm.overdrive.com,Canada,Manitoba,55734,43471,12263,0
Yavapai Library Network,https://yln.overdrive.com,United States,Arizona,55511,43082,7683,4746
LYNX Library Consortium,https://id8.overdrive.com,United States,Idaho,55042,34470,15832,4739
Idaho Falls Public Library,https://ifpl.overdrive.com,United States,Idaho,54938,34545,20393,0
The Public Library of Youngstown and Mahoning County,https://youngstown.overdrive.com,United States,Ohio,54901,39574,15326,0
CLAMS,https://clamsnet.overdrive.com,United States,Massachusetts,54862,38177,11924,4761
Winnipeg Public Library,https://winnipeg.overdrive.com,Canada,Manitoba,54833,39415,10714,4703
Carmel Clay Public Library,https://carmel.overdrive.com,United States,Indiana,54545,30984,18845,4715
St. Louis Public Library,https://slpl.overdrive.com,United States,Missouri,54540,39645,10138,4757
Irving Public Library,https://irvinglibrary.overdrive.com,United States,Texas,54314,43484,6083,4746
Boise Public Library,https://boise.overdrive.com,United States,Idaho,53791,33116,15930,4744
Polk County Library Cooperative,https://pclc.overdrive.com,United States,Florida,53533,50882,2651,0
eLibrary NJ,https://elibrarynj.overdrive.com,United States,New Jersey,53399,32821,15862,4716
Metro Net Library Consortium,https://metronet.overdrive.com,United States,Michigan,52774,31376,16696,4702
